epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.173,2.63099,2.35316,3.13196,2.67255,0.01022,0.22627,0.01674,0.00508,0.00998,0.22104,0.01614,0.00484,2.77578,2.67615,3.25492,3.02084,0.000665397,0.000665397,0.000665397
2,380.743,2.408,1.89157,3.09214,2.59551,0.01349,0.3025,0.01716,0.00602,0.01265,0.28363,0.01488,0.00508,2.36021,2.23999,3.14853,2.69613,0.00130569,0.00130569,0.00130569
3,572.16,2.35335,1.88553,3.08929,2.54198,0.03009,0.25561,0.03319,0.01025,0.01725,0.27616,0.02477,0.00859,2.44353,2.08888,3.05686,2.66357,0.00191958,0.00191958,0.00191958
4,760.677,2.30219,1.91746,3.06939,2.50841,0.01375,0.3083,0.01969,0.00674,0.01323,0.29652,0.0174,0.00588,2.34527,3.02714,3.16276,2.65371,0.0018812,0.0018812,0.0018812
5,955.114,2.27113,1.86607,3.04418,2.46569,0.01956,0.28756,0.02828,0.00975,0.01532,0.28345,0.02366,0.00834,2.2639,2.07606,3.10288,2.56253,0.0018416,0.0018416,0.0018416
6,1171.49,2.23545,1.84948,3.02074,2.43178,0.06063,0.15265,0.02873,0.0096,0.03712,0.17022,0.02197,0.00723,2.16306,2.24295,3.04176,2.50582,0.001802,0.001802,0.001802
7,1377.52,2.19856,1.86059,3.02288,2.41783,0.19615,0.06558,0.04341,0.0146,0.11209,0.08707,0.02986,0.00903,2.1571,2.04598,3.02157,2.52315,0.0017624,0.0017624,0.0017624
8,1582.85,2.1793,1.84876,2.98986,2.39479,0.10472,0.09772,0.03272,0.01124,0.07182,0.09043,0.0229,0.00831,2.13805,2.00855,3.06456,2.48875,0.0017228,0.0017228,0.0017228
9,1784.84,2.15457,1.87256,2.99468,2.38126,0.1901,0.06175,0.04038,0.01305,0.14716,0.05942,0.02834,0.00902,2.11429,2.00224,2.9853,2.46449,0.0016832,0.0016832,0.0016832
10,1987.79,2.14361,1.82031,2.98586,2.37076,0.20448,0.06614,0.04295,0.01467,0.13638,0.05475,0.02826,0.00983,2.10945,2.03691,2.948,2.44287,0.0016436,0.0016436,0.0016436
11,2189.22,2.12941,1.80213,2.97279,2.36348,0.07523,0.17489,0.03699,0.01264,0.06398,0.14873,0.02842,0.00997,2.11312,2.01557,2.99653,2.43717,0.001604,0.001604,0.001604
12,2399.95,2.09982,1.80981,2.95836,2.34023,0.16717,0.06409,0.04817,0.01683,0.15345,0.06446,0.03819,0.01134,2.08091,2.00983,2.98557,2.45181,0.0015644,0.0015644,0.0015644
13,2609.76,2.11286,1.8066,2.96268,2.34758,0.20295,0.05587,0.048,0.01389,0.12148,0.05026,0.02652,0.00972,2.09701,1.98565,3.03653,2.417,0.0015248,0.0015248,0.0015248
14,2810.06,2.09135,1.8185,2.94749,2.32365,0.17692,0.05512,0.03671,0.01274,0.10781,0.07567,0.02625,0.00952,2.07949,2.01012,2.97397,2.41834,0.0014852,0.0014852,0.0014852
15,3016.98,2.09179,1.81363,2.95364,2.33022,0.21503,0.08782,0.05767,0.02029,0.14858,0.06969,0.03691,0.01328,2.05271,2.04531,2.94632,2.40178,0.0014456,0.0014456,0.0014456
16,3227.7,2.07047,1.79438,2.94558,2.31587,0.20701,0.0677,0.04844,0.01681,0.11566,0.05101,0.02584,0.00946,2.04824,2.02291,2.93703,2.41043,0.001406,0.001406,0.001406
17,3437.68,2.06909,1.80138,2.93323,2.31258,0.22182,0.07025,0.05372,0.01841,0.1372,0.05736,0.02932,0.01052,2.0473,2.02152,2.97779,2.38838,0.0013664,0.0013664,0.0013664
18,3655.18,2.04851,1.79704,2.92538,2.30171,0.22875,0.07455,0.05128,0.01793,0.15274,0.05811,0.03105,0.01118,2.03552,1.97699,2.93958,2.39157,0.0013268,0.0013268,0.0013268
19,3867.49,2.04434,1.82755,2.91513,2.29202,0.29997,0.08296,0.07243,0.02573,0.17906,0.06371,0.03432,0.01198,2.01405,2.00865,2.93152,2.37014,0.0012872,0.0012872,0.0012872
20,4088.41,2.03221,1.78013,2.91116,2.28593,0.27498,0.08857,0.06409,0.02225,0.18464,0.06981,0.0367,0.0127,2.00719,1.98869,2.9199,2.37347,0.0012476,0.0012476,0.0012476
21,4309.29,2.03251,1.78739,2.9105,2.28547,0.20639,0.08614,0.05007,0.01636,0.12428,0.06521,0.02711,0.00987,2.02656,1.97058,2.95067,2.38558,0.001208,0.001208,0.001208
22,4541.21,2.03054,1.77051,2.89946,2.27653,0.22629,0.0858,0.05048,0.01706,0.1466,0.06932,0.03071,0.01071,2.04086,2.06235,2.92286,2.40361,0.0011684,0.0011684,0.0011684
23,4756.04,2.01966,1.77323,2.89864,2.27074,0.21302,0.08894,0.05101,0.01695,0.19736,0.0824,0.04488,0.01531,2.02746,2.07443,2.91865,2.36714,0.0011288,0.0011288,0.0011288
24,4972.18,2.02143,1.80089,2.88997,2.27007,0.23442,0.08875,0.05526,0.01911,0.21038,0.08315,0.04739,0.01608,2.01496,2.02157,2.91164,2.36263,0.0010892,0.0010892,0.0010892
25,5181.41,2.00344,1.78385,2.87683,2.25735,0.25893,0.10874,0.06664,0.02421,0.16188,0.08464,0.03631,0.01358,1.99184,1.97805,2.8799,2.35232,0.0010496,0.0010496,0.0010496
26,5405.48,2.00543,1.7552,2.87487,2.25306,0.21851,0.09137,0.0547,0.01984,0.14421,0.07605,0.03272,0.01237,2.01345,1.98764,2.884,2.34413,0.00101,0.00101,0.00101
27,5621.49,1.99918,1.75736,2.87471,2.24426,0.26448,0.08595,0.06012,0.02089,0.15969,0.0667,0.03359,0.01218,2.0027,2.03435,2.91931,2.35686,0.0009704,0.0009704,0.0009704
28,5831.35,1.9866,1.76219,2.86641,2.24034,0.24759,0.10613,0.06412,0.02323,0.1584,0.08371,0.03704,0.01342,1.9787,2.18921,2.86317,2.34142,0.0009308,0.0009308,0.0009308
29,6049.19,1.98732,1.7561,2.8529,2.23447,0.17844,0.09342,0.044,0.01625,0.11853,0.07455,0.0267,0.0103,1.98229,2.02429,2.88625,2.34165,0.0008912,0.0008912,0.0008912
30,6270.6,1.99168,1.75592,2.86489,2.23734,0.26975,0.09473,0.06237,0.0215,0.17332,0.07044,0.03619,0.01349,1.97175,2.01908,2.88628,2.34137,0.0008516,0.0008516,0.0008516
31,6501.16,1.97257,1.75631,2.8596,2.22959,0.22471,0.09342,0.05493,0.0198,0.1556,0.07324,0.03542,0.01321,1.98179,2.04494,2.86594,2.33691,0.000812,0.000812,0.000812
32,6718.05,1.97298,1.74123,2.84709,2.22652,0.24946,0.11638,0.06927,0.02422,0.15007,0.08688,0.0374,0.01353,1.96871,2.02539,2.84159,2.33227,0.0007724,0.0007724,0.0007724
33,6936.61,1.98092,1.76175,2.84897,2.22393,0.26254,0.11268,0.07358,0.02809,0.21328,0.09922,0.05424,0.0204,1.94331,2.01933,2.84945,2.30723,0.0007328,0.0007328,0.0007328
34,7158.25,1.97338,1.74975,2.84668,2.22148,0.25661,0.09417,0.06231,0.02204,0.1656,0.0692,0.03637,0.01344,1.96285,1.99076,2.90434,2.32473,0.0006932,0.0006932,0.0006932
35,7375.68,1.97145,1.75487,2.83286,2.21636,0.25917,0.0966,0.06672,0.02464,0.17679,0.08296,0.0428,0.01607,1.95392,2.06047,2.86443,2.31855,0.0006536,0.0006536,0.0006536
36,7601.94,1.95338,1.74805,2.83604,2.2056,0.25473,0.10874,0.07896,0.03013,0.18804,0.08987,0.04912,0.01918,1.93852,1.99187,2.8482,2.30346,0.000614,0.000614,0.000614
37,7815.87,1.93661,1.73698,2.82044,2.19877,0.26134,0.11491,0.07844,0.0297,0.21344,0.09978,0.05782,0.02427,1.93179,2.03311,2.79242,2.29631,0.0005744,0.0005744,0.0005744
38,8026.78,1.94809,1.73258,2.81513,2.19736,0.25744,0.10725,0.07117,0.02704,0.19145,0.08726,0.04829,0.01958,1.94365,2.01782,2.86079,2.30091,0.0005348,0.0005348,0.0005348
39,8238.36,1.92896,1.72626,2.82155,2.19114,0.26831,0.10613,0.07159,0.0276,0.19189,0.08427,0.04655,0.01936,1.92458,1.99894,2.84225,2.29977,0.0004952,0.0004952,0.0004952
40,8454.88,1.9411,1.74847,2.82126,2.19402,0.27744,0.11379,0.085,0.03284,0.2004,0.0923,0.05283,0.02153,1.91755,2.0643,2.81841,2.28618,0.0004556,0.0004556,0.0004556
41,8605.69,2.01616,1.73217,3.02265,2.36711,0.26501,0.11323,0.08162,0.0314,0.18801,0.08875,0.04822,0.01961,1.89009,2.03016,2.82645,2.27018,0.000416,0.000416,0.000416
42,8751.11,1.98062,1.72754,2.96598,2.36342,0.26783,0.11248,0.08075,0.03149,0.20473,0.0994,0.05232,0.02072,1.88743,2.02753,2.83971,2.26512,0.0003764,0.0003764,0.0003764
43,8896.51,1.97556,1.73536,2.94463,2.34557,0.27972,0.11136,0.08082,0.03163,0.26846,0.10688,0.07281,0.02934,1.8865,2.00346,2.8116,2.26424,0.0003368,0.0003368,0.0003368
44,9054.37,1.96368,1.70365,2.93071,2.34404,0.27898,0.11379,0.08395,0.03284,0.22207,0.09809,0.05585,0.02207,1.86128,1.95659,2.7963,2.25885,0.0002972,0.0002972,0.0002972
45,9221.8,1.95552,1.72536,2.93505,2.33855,0.25886,0.11229,0.07773,0.03184,0.21159,0.09679,0.05758,0.02373,1.86068,1.96705,2.80631,2.25664,0.0002576,0.0002576,0.0002576
46,9381.65,1.94575,1.70571,2.91999,2.3301,0.26476,0.11398,0.07821,0.03113,0.18053,0.09025,0.04899,0.01972,1.87249,1.96945,2.82614,2.25188,0.000218,0.000218,0.000218
47,9569.11,1.9461,1.70512,2.91947,2.32833,0.2724,0.12108,0.0912,0.03637,0.23306,0.10968,0.0691,0.02824,1.85306,1.9559,2.78312,2.24107,0.0001784,0.0001784,0.0001784
48,9754.34,1.93998,1.69998,2.92139,2.33032,0.2616,0.11379,0.08137,0.03245,0.20066,0.09512,0.05545,0.0227,1.85126,1.9559,2.79658,2.24738,0.0001388,0.0001388,0.0001388
49,9937.78,1.9363,1.69921,2.90663,2.31896,0.26319,0.11547,0.07956,0.03056,0.22381,0.10258,0.06297,0.02495,1.85225,1.97363,2.792,2.24151,9.92e-05,9.92e-05,9.92e-05
50,10107.6,1.93308,1.70373,2.89796,2.31045,0.26458,0.11603,0.08111,0.03115,0.18778,0.09305,0.05188,0.02046,1.84791,1.97597,2.79443,2.24363,5.96e-05,5.96e-05,5.96e-05
